feature,value,0,1,2,3,4,5,<s>
attn_1_2_outputs,<pad>,-1.1192225,-0.0180334,0.78718525,0.31268838,0.19055562,0.5328899,0.43928584
attn_1_2_outputs,<s>,-0.29499862,-0.33692703,-0.8174357,0.40271533,-0.24396026,0.26031837,0.43108046
attn_1_3_outputs,0,-1.8018627,0.4696487,0.22385173,0.45454165,0.66510785,0.35971242,0.44157356
attn_1_3_outputs,1,0.50280046,-1.8327954,0.32071587,0.34542757,0.5656529,0.5201961,0.47945797
attn_1_3_outputs,2,0.8446354,0.7168212,-1.4534452,0.74601436,0.7364409,0.78185457,-0.69363153
attn_1_3_outputs,3,0.39666075,0.09906879,0.09397699,-1.8838661,0.43317127,0.28071678,0.15935114
attn_1_3_outputs,4,0.65577507,0.4659156,0.24351232,0.5230507,-1.2430028,0.47119653,-0.995154
attn_1_3_outputs,5,0.361268,0.48672953,0.26799703,0.39187977,0.52820134,-1.6019723,0.31356215
attn_1_3_outputs,<pad>,-0.84191513,-1.0172964,-0.76149523,0.123213746,-0.26229918,-0.8431546,1.3329903
attn_1_3_outputs,<s>,0.12460943,0.091018155,-0.09556804,0.049116924,0.30070525,0.18929663,-0.90650266
mlp_0_0_outputs,0,0.5388649,0.3350234,0.34441802,0.35030484,0.28950918,1.546533,-0.021684956
mlp_0_0_outputs,1,0.27723303,0.00785963,0.09040524,-0.072000206,0.05326854,-0.66913664,0.02376819
mlp_0_0_outputs,2,0.5168186,0.00082465936,0.03322883,-0.049134817,-0.06904204,0.3038957,-0.1752163
mlp_0_0_outputs,3,1.273516,0.7022127,0.70429265,0.94600534,0.89103293,-0.19120315,-0.7380519
mlp_0_0_outputs,4,1.1867644,0.624214,0.67634517,0.523763,0.6391436,-0.9454197,-0.13275953
mlp_0_0_outputs,5,1.0000643,0.5902394,0.6925608,0.51140624,0.60374755,0.32996756,-0.23725335
mlp_0_0_outputs,6,0.4780721,0.08769015,0.3884712,0.39425516,0.32169166,0.40618283,0.7063918
mlp_0_0_outputs,7,-0.3898807,0.32016516,0.4629756,0.16645862,0.40938702,-0.29157832,0.41017005
mlp_1_0_outputs,0,0.586584,0.27384034,0.60103804,0.106844604,0.08046398,0.84161276,0.2311923
mlp_1_0_outputs,1,0.59702843,-0.5168583,-0.2560074,-0.11881822,-0.34063765,0.94765925,0.2778754
mlp_1_0_outputs,2,-0.0010544846,-0.29499865,-0.019326458,-0.7614488,2.3774514,-0.1648024,0.30929917
mlp_1_0_outputs,3,0.74009246,0.667017,1.061711,0.42582178,0.21887065,0.28872478,0.3406672
mlp_1_0_outputs,4,-0.55674136,1.9629627,0.022431627,0.39874783,-0.022731915,0.26078132,0.8956126
mlp_1_0_outputs,5,0.6066418,0.4640533,0.8836076,-0.3207216,0.092841655,-0.1467443,0.76429147
mlp_1_0_outputs,6,0.49357423,0.0008596431,-1.1402574,0.28382564,0.20096494,0.71787864,0.336084
mlp_1_0_outputs,7,-0.7054122,-0.6677536,-0.011865945,0.46331397,-0.18509176,0.40691274,1.380978
ones,_,-0.22900042,-0.6088465,0.7025323,0.2046782,0.19057731,0.59705627,0.6709267
positions,0,-0.027221614,0.4382993,-0.31425253,0.22043936,0.27219325,-0.22268775,-0.525018
positions,1,4.711591,2.3007102,2.2162902,1.9919188,1.9476651,0.9457117,-9.624983
positions,2,3.971317,1.3591782,1.3842514,1.8094422,1.5618274,0.47875434,-4.9808197
positions,3,-0.80628484,1.0635002,1.2807952,1.1864283,1.0896343,2.8429468,-2.3109617
positions,4,-2.2906132,-0.3125655,-0.24690473,-0.3682371,-0.14283256,1.6171613,1.0308294
positions,5,-4.478125,-2.5670004,-2.1729426,-2.6040425,-2.0544062,-0.7260965,2.5067673
positions,6,-4.912059,-4.065911,-4.1490245,-2.2756076,-4.7885056,-4.4419546,5.413812
positions,7,-9.445504,-7.926376,-7.6101995,-7.1797256,-8.258673,-5.7547903,8.191866
tokens,0,0.5291054,0.25832266,0.015161428,0.09454628,-0.24165744,-0.007028366,0.8916096
tokens,1,-0.8104018,0.3966301,-0.47736126,-0.40117246,-0.7421634,-0.46488276,0.51772964
tokens,2,-0.45935968,-0.33639982,0.6245526,-0.47949037,-0.67698216,-0.3850985,-0.9034809
tokens,3,-0.15212333,0.15787758,-0.01748907,0.50486463,-0.27207163,-0.0363156,0.9016375
tokens,4,-0.49866846,-0.085692905,-0.35292605,-0.57288027,0.41480383,-0.4039096,-1.03354
tokens,5,-0.3061952,0.14667496,-0.11779572,-0.28625777,-0.46448734,0.47818118,0.62014335
tokens,<pad>,0.18899281,0.0142804105,-0.62923014,-0.1652079,0.04161351,0.14660658,0.93674237
tokens,<s>,0.25520828,0.49011952,-0.14046597,-0.47448164,0.19246964,-0.23532768,-0.06904565
