feature,value,0,1,2,3,4
attn_1_3_outputs,4,-1.6049107,-1.87254,-1.3644856,-1.3236067,1.385453
attn_1_3_outputs,</s>,-1.005239,3.226148,-0.37972394,-1.4318177,-0.911042
attn_1_3_outputs,<pad>,-0.22245008,0.12008335,0.20979063,-0.050058827,0.33453655
attn_1_3_outputs,<s>,-0.58634746,2.5105584,-0.19163519,-0.44141734,-0.53062975
mlp_0_0_outputs,0,1.607739,-0.7737149,1.3845396,1.3390509,-0.84611523
mlp_0_0_outputs,1,0.75166935,-1.3231397,0.36207807,0.56815845,0.747413
mlp_0_0_outputs,2,-0.5598995,-2.3632753,0.061755296,1.793353,1.0131229
mlp_0_0_outputs,3,-1.5663449,-7.2653966,-7.6383586,-0.5933923,11.925616
mlp_0_0_outputs,4,-3.3442328,1.03891,2.194148,2.1822958,0.14042817
mlp_0_0_outputs,5,0.5650994,2.233601,-1.351146,-1.2893491,1.1967041
mlp_0_0_outputs,6,0.8856052,0.4473766,0.96170276,0.7109845,-2.4665618
mlp_0_0_outputs,7,3.4539268,-3.7013092,0.7474936,-0.55930054,-4.704774
mlp_1_0_outputs,0,0.16062264,1.1025656,-1.0548893,-1.0340055,0.2042229
mlp_1_0_outputs,1,-0.24970224,-0.53462917,-0.17886432,0.025003841,0.25459176
mlp_1_0_outputs,2,-1.6033697,1.1978751,3.0656958,-0.8585646,-0.23468846
mlp_1_0_outputs,3,-0.080224685,0.33312133,0.23547792,-0.2782796,0.73624873
mlp_1_0_outputs,4,6.249133,-3.1703088,-1.018239,-1.534027,-1.4563085
mlp_1_0_outputs,5,-1.9952977,-1.5052218,-7.1700797,6.45243,0.5655547
mlp_1_0_outputs,6,-3.1493895,2.044212,4.294067,-5.2187986,1.1750661
mlp_1_0_outputs,7,0.054013055,0.07996711,0.28198516,-0.42292246,0.1723914
ones,_,0.26549175,0.15541549,0.19366193,0.39081565,0.17601737
positions,0,-0.4224545,1.0454371,0.029011505,0.0859931,-0.22635554
positions,1,-0.3416265,0.8117108,0.083614446,0.22885062,0.017281678
positions,2,-0.0405132,-0.27923688,0.08769268,0.023133267,-0.040909983
positions,3,0.099540465,-0.6157848,0.07259991,0.0009278031,-0.19712737
positions,4,0.08882699,-0.17036347,0.14114825,-0.20717593,0.4326045
positions,5,-0.20011407,0.2842637,0.0973125,-0.090406306,-0.86006516
positions,6,1.1366433,0.38211212,0.5455991,0.9378418,-0.9728775
positions,7,0.45020753,0.3057756,-0.5510827,0.1780851,0.34054205
tokens,0,1.5553427,-0.22236553,-0.34808734,-0.020566491,-0.4828067
tokens,1,-0.14758666,0.8224601,-0.5831518,-0.3126536,-0.7464638
tokens,2,-0.41824883,-0.82227015,0.55569696,-0.59573525,-0.86509013
tokens,3,-0.50243396,-0.976455,-1.0294431,0.6933922,-1.1707256
tokens,4,-0.012039927,-0.35856387,-0.41481516,-0.18134317,1.0025754
tokens,</s>,0.29250816,0.044026084,0.28790298,-0.66508687,-0.34717017
tokens,<pad>,0.5405131,0.06261367,-0.59002846,0.007045314,-0.43668428
tokens,<s>,0.5177374,-0.022116954,-0.5441003,-0.6181832,-0.618676
