epoch,epoch_loss,split,loss,acc,precision,recall,f1,sample_fn
0,0.4097547,train,0.14561346,0.9574620014281342,0.8151901825508273,0.7567873944340532,0.7849038857210041,gumbel_soft
0,0.4097547,val,0.22156271,0.9343207291538367,0.7660275614140204,0.6213851761846901,0.6861666443043071,gumbel_soft
0,0.4097547,test,0.3195904,0.9188253997942579,0.733026113671275,0.5636664304275927,0.6372863247863247,gumbel_soft
1,0.13115287,train,0.09182095,0.9678815522944871,0.8425715583825534,0.8409000736836139,0.8417349862415249,gumbel_soft
1,0.13115287,val,0.19820257,0.936445375046188,0.7445491251682369,0.6721749696233292,0.7065134099616859,gumbel_soft
1,0.13115287,test,0.3215606,0.9212880700769974,0.7062116768861637,0.625797306874557,0.6635771543086172,gumbel_soft
2,0.09062794,train,0.071248904,0.974927500327888,0.8927441164623972,0.8793855920194978,0.88601450516818,gumbel_soft
2,0.09062794,val,0.20373234,0.9391858603276265,0.766797385620915,0.7127582017010936,0.7387909319899244,gumbel_soft
2,0.09062794,test,0.34375057,0.9199476292901898,0.6961367013372957,0.6640680368532955,0.6797243380486034,gumbel_soft
3,0.07257118,train,0.06012797,0.979517931828449,0.8965263217544058,0.8967295811369949,0.8966279399263247,gumbel_soft
3,0.07257118,val,0.19556238,0.9450363345239562,0.7765451664025357,0.7144592952612394,0.7442095937223138,gumbel_soft
3,0.07257118,test,0.35162523,0.9283643505096792,0.7157164869029276,0.6583982990786676,0.6858619416758952,gumbel_soft
4,0.064358786,train,0.0575435,0.9807566196936798,0.9084157001656858,0.901207277673865,0.9047971319638081,gumbel_soft
4,0.064358786,val,0.19942352,0.9470686045079443,0.8068611561318206,0.7258809234507898,0.7642318024817705,gumbel_soft
4,0.064358786,test,0.37689725,0.9268680445151033,0.7201858544140424,0.6591070163004961,0.6882940668558036,gumbel_soft
5,0.05860983,train,0.06020529,0.9803121493420381,0.8846914122556556,0.9132233747095165,0.8987309998605495,gumbel_soft
5,0.05860983,val,0.23589303,0.9383852691218131,0.7071578456516671,0.7370595382746051,0.7217991432651119,gumbel_soft
5,0.05860983,test,0.43273088,0.91807724679697,0.6327248735429953,0.6796598157335223,0.6553530751708428,gumbel_soft
6,0.057021618,train,0.04735395,0.9846548432695531,0.9367236251239284,0.9103893895595987,0.9233687841333716,gumbel_soft
6,0.057021618,val,0.23380709,0.9484542431333908,0.8,0.7319562575941677,0.7644670050761422,gumbel_soft
6,0.057021618,test,0.4055336,0.9312946164157236,0.7389162561576355,0.6732813607370659,0.7045735475896168,gumbel_soft
7,0.05310533,train,0.044568922,0.9850555952259512,0.9364932740603891,0.9194014623363373,0.9278686649124813,gumbel_soft
7,0.05310533,val,0.22954178,0.9472841482941249,0.8009516256938938,0.7363304981773997,0.7672828564193466,gumbel_soft
7,0.05310533,test,0.44388217,0.9288007730914305,0.7293729372937293,0.678714859437751,0.7031326480665687,gumbel_soft
8,0.051924556,train,0.05368485,0.9846111248743096,0.9399567782255709,0.9121464603525478,0.9258428259118628,gumbel_soft
8,0.051924556,val,0.28350204,0.9462064293632221,0.8081554460864806,0.7176184690157958,0.7602007980435063,gumbel_soft
8,0.051924556,test,0.52669346,0.9281461392188036,0.739444147514698,0.653673517599811,0.6939184952978056,gumbel_soft
9,0.05535675,train,0.0528614,0.9837076113726119,0.9265373269798048,0.9257495890721532,0.9261432905219584,gumbel_soft
9,0.05535675,val,0.2694349,0.9432504002956029,0.7720258835241414,0.7538274605103281,0.7628181482847659,gumbel_soft
9,0.05535675,test,0.5733914,0.922347953489822,0.7082936129647283,0.7021025277580912,0.7051844821449756,gumbel_soft
